CompanyCode,EPS,ROA,Dbequrt,year
1121,2.87,47.7017,100.2744,2011
1121,0.62,10.333,114.8226,2012
1121,0.65,5.2618,104.5057,2013
1121,0.265,1.4822,83.5417,2014
1121,0.0897,0.3645,55.6932,2015
1121,0.025,0.5324,70.1863,2016
1121,0.1105,3.8468,112.5123,2017
1121,0.1607,2.612,122.169,2018
1123,0.19,4.1684,97.9685,2009
1123,0.25,6.3708,118.1732,2010
1123,0.23,8.5345,35.7262,2011
1123,0.09,3.9436,27.7513,2012
1123,0.06,2.2045,47.0381,2013
1123,0.05,1.5372,70.2073,2014
1123,0.29,10.6188,85.6653,2015
1123,0.31,11.0931,60.7187,2016
1123,0.3,9.9771,50.627,2017
1123,0.33,10.1793,43.4511,2018
1124,-0.04,-0.6103,134.9561,2009
1124,0.24,3.9938,121.3845,2010
1124,0.3,4.8496,118.6668,2011
1124,0.19,2.8073,135.1921,2012
1124,0.36,4.9127,120.5109,2013
1124,0.35,6.9077,41.1068,2014
1124,0.43,7.4982,42.9936,2015
1124,0.46,6.9962,18.4647,2016
1124,0.72,10.2835,22.6394,2017
1124,0.51,10.296,20.6703,2018
1126,0.24,3.0247,218.3591,2009
1126,0.27,2.9742,134.6764,2010
1126,0.25,2.2139,179.4622,2011
1126,0.31,2.2779,190.9719,2012
1126,0.39,2.7862,209.3565,2013
1126,0.53,3.5194,208.0358,2014
1126,0.64,4.5687,91.8528,2015
1126,0.23,4.8708,89.0419,2016
1126,0.35,6.1331,81.9056,2017
1126,0.22,3.9928,82.7223,2018
1127,0.05,0.6099,310.7836,2009
1127,0.31,2.9212,348.2206,2010
1127,0.44,3.8453,343.1677,2011
1127,0.04,0.6518,387.9911,2012
1127,-0.1,-0.235,490.7702,2013
1127,0.06,0.3601,711.7576,2014
1127,-2.18,-6.9715,2198.2123,2015
1127,0.09,0.1613,816.9777,2016
1127,0.06,0.2931,656.4469,2017
1127,-1.96,-8.5264,2007.7748,2018
1128,0.56,6.3363,115.7115,2009
1128,0.3,6.0457,112.3572,2010
1128,0.33,5.9612,117.0913,2011
1128,0.3,5.9767,115.4065,2012
1128,0.28,5.4152,82.5524,2013
1128,0.3,4.9146,88.976,2014
1128,0.32,4.8275,91.7633,2015
1128,0.34,4.4983,104.7118,2016
1128,0.35,4.7875,65.9858,2017
1128,0.35,4.6501,69.3881,2018
1131,0.18,1.8773,216.5235,2009
1131,0.21,2.298,218.9001,2010
1131,0.18,2.7517,257.1399,2011
1131,0.43,6.812,178.0814,2012
1131,0.05,2.0337,163.5984,2013
1131,0.06,1.4533,144.4859,2014
1131,-0.536,-5.3394,193.4729,2015
1131,-0.6203,-5.1052,246.5241,2016
1131,0.618,7.7892,207.2536,2017
1131,0.1502,3.2528,246.9973,2018
1132,0.4502,3.6987,162.2361,2009
1132,0.4885,3.3402,126.6557,2010
1132,0.1773,2.0858,127.8884,2011
1132,0.208,2.0786,135.95,2012
1132,0.2446,2.2029,145.4045,2013
1132,0.32,2.484,119.3537,2014
1132,0.3693,2.2556,126.4096,2015
1132,0.39,2.3093,124.072,2016
1132,0.53,2.8604,131.5066,2017
1132,-1.76,-11.4961,153.969,2018
1133,2.2243,11.6051,107.9979,2009
1133,2.3008,9.8332,98.466,2010
1133,2.9108,10.9061,81.3284,2011
1133,1.6307,9.435,105.4402,2012
1133,0.8765,4.2897,103.0702,2013
1133,0.0585,-0.0801,122.0532,2014
1133,0.012,-0.5453,124.0251,2015
1133,-0.5778,-3.7636,170.7273,2016
1133,0.6842,2.5982,143.9872,2017
1133,0.946,3.9344,124.2903,2018
1134,0.347,12.238,11.997,2009
1134,0.474,14.5123,9.7344,2010
1134,0.386,13.2451,11.4809,2011
1134,0.354,10.4345,16.6754,2012
1134,0.323,8.3043,24.0899,2013
1134,0.262,5.6374,42.628,2014
1134,0.215,3.9324,55.048,2015
1134,0.185,3.2156,49.3301,2016
1134,0.253,4.0182,67.2966,2017
1134,0.389,5.5277,68.6461,2018
1135,0.17,2.0473,120.6345,2009
1135,0.42,4.333,146.3866,2010
1135,0.36,3.6181,136.1824,2011
1135,-0.45,-4.1552,146.1208,2012
1135,0.02,0.4875,149.5998,2013
1135,0.01,0.3095,102.6997,2014
1135,-1.3,-19.8679,59.8829,2015
1135,0.32,5.0067,71.2361,2016
1135,0.69,7.2428,46.6134,2017
1135,0.57,7.7874,38.4313,2018
1136,0.007,0.3521,184.4419,2009
1136,0.0104,0.4337,163.361,2010
1136,-0.1231,-4.9273,183.6896,2011
1136,0.01,0.5066,172.7737,2012
1136,0.02,0.9141,56.5621,2013
1136,0.0191,0.932,49.8002,2014
1136,-0.27,-11.9849,103.0153,2015
1136,0.02,0.5588,138.2081,2016
1136,0.02,0.5382,164.7449,2017
1136,-0.08,-2.5668,202.3506,2018
1137,0.139,1.4423,124.668,2009
1137,0.3105,2.6631,155.879,2010
1137,0.3917,3.4459,108.1529,2011
1137,0.2648,2.6485,90.2128,2012
1137,0.2787,2.7286,88.9911,2013
1137,0.2859,2.6119,112.5338,2014
1137,0.2683,2.2106,83.4975,2015
1137,0.0927,0.8798,92.8203,2016
1137,0.0497,0.5948,118.8983,2017
1137,-0.2844,-1.9643,120.3717,2018
1138,0.1148,1.2311,370.269,2009
1138,-0.3785,-1.8706,441.2099,2010
1138,0.0484,0.5857,565.6736,2011
1138,-0.52,-2.2401,758.6476,2012
1138,0.03,0.4977,830.1738,2013
1138,-0.65,-2.6775,863.9248,2014
1138,0.5434,2.2623,857.2077,2015
1138,2,8.7328,634.033,2016
1138,0.23,0.9504,769.2619,2017
1138,0.13,0.5269,291.5829,2018
1139,0.02,1.5408,69.7137,2009
1139,0.06,4.4647,43.7009,2010
1139,0.08,6.6649,31.4771,2011
1139,0.09,7.4173,24.7775,2012
1139,0.09,6.7102,31.3255,2013
1139,0.1,6.5125,33.6609,2014
1139,0.08,4.7317,42.7107,2015
1139,0.04,2.194,43.8605,2016
1139,-0.2,-12.2591,25.7361,2017
1139,0.04,3.1407,19.7207,2018
1141,0.37,5.9189,166.2174,2009
1141,0.75,10.4203,144.6176,2010
1141,0.32,4.2659,147.8459,2011
1141,0.33,2.9891,188.7633,2012
1141,0.33,2.2604,165.3743,2013
1141,0.15,-0.7624,196.3009,2014
1141,-0.14,-4.0163,219.2181,2015
1141,0.37,3.9493,172.6395,2016
1141,0.68,9.4916,201.1684,2017
1141,0.83,12.383,186.5261,2018
1142,0.26,2.157,233.7583,2009
1142,0.0355,1.7183,256.9516,2010
1142,0.0318,0.3396,237.7959,2011
1142,0.0255,0.2754,455.2958,2012
1142,-0.752,-5.2165,767.8081,2013
1142,0.4661,2.4865,778.338,2014
1142,0.2239,1.066,847.1965,2015
1142,0.2296,0.8428,986.1321,2016
1142,1.4395,4.4688,494.7513,2017
1142,0.4414,1.8208,449.5952,2018
1143,0.006,0.4086,6.942,2009
1143,0.0095,0.5371,5.941,2010
