CompanyCode,EPS,ROA,Dbequrt,LOGTA,year
1113,0.0363,1.4979,47.671,22.31079412,2016
1113,0.0594,2.6442,39.5982,22.29008205,2017
1113,0.0873,3.5671,40.9164,22.35395275,2018
1114,1.006,6.5915,215.2355,25.65166638,2009
1114,1.611,12.4429,222.298,26.15629921,2010
1114,1.834,12.7822,181.2355,26.48730638,2011
1114,1.882,10.5462,140.7556,26.48280778,2012
1114,2.25,10.3016,153.8276,26.64656059,2013
1114,2.537,9.702,145.798,26.75123268,2014
1114,2.702,8.6506,171.7099,26.96086889,2015
1114,2.903,7.9767,185.249,27.10445245,2016
1114,2.959,7.1705,200.3358,27.30741218,2017
1114,3.082,6.4269,212.507,27.38610456,2018
1115,0.52,3.6849,257.3285,22.18403051,2009
1115,0.52,6.4183,139.4517,21.95802595,2010
1115,0.11,1.8534,150.113,22.03978742,2011
1115,0.03,0.7089,153.9654,22.06179137,2012
1115,0.47,4.453,70.4025,21.72774115,2013
1115,0.38,6.6987,48.8454,21.68501695,2014
1115,0.4,6.6325,50.8602,21.94134644,2015
1115,0.27,7.8596,50.6111,22.14018231,2016
1115,0.31,7.5997,65.1952,22.27336457,2017
1115,0.16,4.8116,83.4487,22.42147209,2018
1116,0.2213,1.986,236.9955,22.30028659,2009
1116,0.2951,2.5525,268.0857,22.45551615,2010
1116,0.7834,6.2977,198.875,22.45280373,2011
1116,0.2564,4.2302,159.7351,22.40328436,2012
1116,0.3024,4.9103,156.3591,22.48342398,2013
1116,0.272,4.0757,114.0745,22.56432005,2014
1116,0.25,3.2945,125.3465,22.71669868,2015
1116,0.33,4.1617,96.3705,22.64734992,2016
1116,0.28,4.1353,87.2929,22.62623106,2017
1116,0.2,3.4008,84.5427,22.59828539,2018
1117,0.038,1.7966,199.8056,21.12779463,2009
1117,0.04,1.6421,326.6422,21.49619753,2010
1117,0.078,2.0759,311.4767,21.51646189,2011
1117,0.04,1.5248,363.6587,21.66464069,2012
1117,0.03,0.8884,341.0421,21.64286379,2013
1117,-0.02,0.4038,130.5081,20.9437305,2014
1117,0.01,0.3178,129.3194,20.94530072,2015
1117,0.01,0.4279,115.3617,20.89377906,2016
1117,0.01,0.212,107.7648,20.89937325,2017
1117,0.02,0.4323,129.4502,21.01037083,2018
1118,0.0724,2.9342,74.9291,22.30675696,2009
1118,0.0749,2.7507,61.4649,22.17875035,2010
1118,0.0637,2.6662,64.6578,22.22148021,2011
1118,0.2413,8.6492,40.6707,22.53401485,2012
1118,0.1954,6.0197,38.3594,22.59524186,2013
1118,0.1059,2.9731,60.5204,22.75283803,2014
1118,0.0632,1.6125,60.8449,22.75396188,2015
1118,0.0388,1.0182,65.1861,22.77687783,2016
1118,0.0503,1.2445,69.5751,22.80781506,2017
1118,0.0435,0.9951,78.9466,22.87029199,2018
1120,0.0061,0.6791,110.045,21.81888901,2009
1120,0.0274,0.8643,141.7821,22.35512224,2010
1120,-0.0595,-1.1979,123.0596,22.22934747,2011
1120,0.0045,0.1255,163.3458,22.38859355,2012
1120,0.0048,0.025,219.2329,22.58480848,2013
1120,-0.2279,-4.2772,293.1637,22.65822807,2014
1120,0.1257,1.7259,205.0156,22.46800599,2015
1120,0.0228,0.8577,188.7211,22.45958636,2016
1120,0.1652,3.6263,186.6008,22.55057289,2017
1120,0.0845,1.8655,226.032,22.70876017,2018
1121,0.069,1.7936,233.9178,22.58943991,2009
1121,0.93,17.9779,186.9999,22.8968329,2010
1121,2.87,47.7017,100.2744,23.41292345,2011
1121,0.62,10.333,114.8226,23.59399408,2012
1121,0.65,5.2618,104.5057,23.6390306,2013
1121,0.265,1.4822,83.5417,23.56153701,2014
1121,0.0897,0.3645,55.6932,23.40000623,2015
1121,0.025,0.5324,70.1863,23.47192325,2016
1121,0.1105,3.8468,112.5123,23.7485995,2017
1121,0.1607,2.612,122.169,23.89011503,2018
1123,0.19,4.1684,97.9685,20.55840599,2009
1123,0.25,6.3708,118.1732,20.77439838,2010
1123,0.23,8.5345,35.7262,20.43700356,2011
1123,0.09,3.9436,27.7513,20.48401064,2012
1123,0.06,2.2045,47.0381,20.64116635,2013
1123,0.05,1.5372,70.2073,20.78823951,2014
